date,activity_id,name,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,calories,elev_gain_m,avg_cadence,aerobic_te,anaerobic_te,training_load,vo2max
2025-10-24,20787886282,Vancouver Running,running,6.01,35.7,5.95,149.0,174.0,461.0,93.0,164.0,3.0,0.0,68.0,55.0
2025-10-20,20751003427,Vancouver Running,running,14.57,82.4,5.66,148.0,178.0,1069.0,137.0,158.0,3.8,0.0,141.0,55.0
2025-10-19,20741508166,Ice Hockey,ice_hockey,,66.6,,110.0,175.0,419.0,,,1.7,2.5,68.0,
2025-10-19,20741024798,Vancouver Running,running,4.41,25.8,5.85,139.0,156.0,317.0,29.0,165.0,2.4,0.0,45.0,55.0
2025-10-17,20721909090,Ice Hockey,ice_hockey,,73.4,,119.0,181.0,517.0,,,2.1,2.7,86.0,
2025-10-16,20713192250,Vancouver Running,running,6.72,38.1,5.67,153.0,183.0,500.0,28.0,158.0,3.2,2.1,119.0,55.0
2025-10-13,20681503286,Vancouver Running,running,10.1,53.1,5.26,158.0,173.0,751.0,117.0,164.0,3.8,0.0,138.0,55.0
2025-10-12,20669192518,Richmond Running,running,8.11,48.6,6.0,145.0,156.0,605.0,4.0,160.0,3.0,0.0,72.0,54.0
2025-10-11,20661562014,Pool Swim,lap_swimming,0.42,11.9,28.07,149.0,172.0,1453.0,,,2.4,0.9,53.0,
2025-10-09,20642925188,Vancouver Running,running,5.02,22.0,4.39,175.0,185.0,353.0,18.0,173.0,3.6,0.4,128.0,55.0
2025-10-08,20632917421,Vancouver Running,running,8.4,48.0,5.71,156.0,187.0,633.0,22.0,155.0,3.7,3.1,199.0,55.0
2025-10-05,20599463159,Vancouver Running,running,14.02,76.9,5.48,164.0,180.0,1074.0,113.0,166.0,4.3,0.1,169.0,54.0
2025-10-03,20582958430,Ice Hockey,ice_hockey,,62.7,,125.0,183.0,511.0,,,2.5,3.2,120.0,
2025-09-30,20552415405,Vancouver Running,running,5.97,37.2,6.24,135.0,154.0,387.0,44.0,157.0,2.4,0.0,38.0,56.0
